epoch,step,loss,lr,timestamp,training_time_mins
1,34,2.261843204498291,9.990232305719939e-05,2025-09-27T14:37:53.696281,0.20336198186663143
2,68,0.7411126494407654,9.960967771506663e-05,2025-09-27T14:38:05.319573,0.16924259104998782
3,102,0.706155002117157,9.912321891107001e-05,2025-09-27T14:38:16.955265,0.16650438431667378
4,136,0.6080670356750488,9.844486647586714e-05,2025-09-27T14:38:26.860680,0.16504135744999077
5,170,0.4969092011451721,9.757729755661e-05,2025-09-27T14:38:36.035546,0.16423144311665966
6,204,0.34672024846076965,9.652393605146831e-05,2025-09-27T14:38:45.936552,0.16498381410001456
7,238,0.26227566599845886,9.528893909706784e-05,2025-09-27T14:38:56.044504,0.1684223356000075
8,272,0.20011043548583984,9.387718066217109e-05,2025-09-27T14:39:05.222692,0.1651543747500303
9,306,0.13125890493392944,9.229423231234955e-05,2025-09-27T14:39:15.230915,0.16674561273333285
10,340,0.11107836663722992,9.05463412215597e-05,2025-09-27T14:39:25.303803,0.1678428281833476
11,374,0.10682019591331482,8.864040551740132e-05,2025-09-27T14:39:33.173961,0.16519136598338566
12,408,0.07105253636837006,8.658394705735965e-05,2025-09-27T14:39:43.017205,0.1640252093499536
13,442,0.05116322264075279,8.438508174346992e-05,2025-09-27T14:39:54.334609,0.16667871438336684
14,476,0.058874696493148804,8.205248749255997e-05,2025-09-27T14:40:02.544349,0.16690801993336207
15,510,0.05861525237560272,7.959536998847726e-05,2025-09-27T14:40:12.480208,0.16556825859994811
16,544,0.045929405838251114,7.702342635146016e-05,2025-09-27T14:40:22.418799,0.16561793055000937
17,578,0.048453349620103836,7.434680686803477e-05,2025-09-27T14:40:32.305367,0.1647418754999914
18,612,0.03552614897489548,7.157607493247093e-05,2025-09-27T14:40:41.604590,0.1660734213333247
19,646,0.02629811316728592,6.872216535789138e-05,2025-09-27T14:40:51.543442,0.16560847789999875
20,680,0.03269800916314125,6.57963412215597e-05,2025-09-27T14:41:01.519503,0.16622797303328601
21,714,0.016029860824346542,6.281014941466015e-05,2025-09-27T14:41:09.372275,0.16337216391663484
22,748,0.017531629651784897,5.977537507199321e-05,2025-09-27T14:41:19.327336,0.16585657326662234
23,782,0.02520083449780941,5.670399506143291e-05,2025-09-27T14:41:29.379505,0.167497228416687
24,816,0.019825156778097153,5.360813071670086e-05,2025-09-27T14:41:37.594283,0.16810273243330207
25,850,0.015655355527997017,5.049999999999986e-05,2025-09-27T14:41:47.591428,0.1665894273499968
26,884,0.007998771034181118,4.7391869283298854e-05,2025-09-27T14:41:57.606917,0.16690022681668779
27,918,0.012635895051062107,4.4296004938566826e-05,2025-09-27T14:42:05.637938,0.1673796035999961
28,952,0.0068709757179021835,4.122462492800652e-05,2025-09-27T14:42:15.612863,0.1662122330166312
29,986,0.006238591391593218,3.818985058533959e-05,2025-09-27T14:42:25.562444,0.1657791474499997
30,1020,0.008755866438150406,3.5203658778440024e-05,2025-09-27T14:42:35.608150,0.16740260396666903
31,1054,0.005882365629076958,3.227783464210837e-05,2025-09-27T14:42:43.696289,0.16700803313336413
32,1088,0.0041718389838933945,2.9423925067528807e-05,2025-09-27T14:42:55.256497,0.16846325068333196
33,1122,0.005256112664937973,2.6653193131964994e-05,2025-09-27T14:43:05.341264,0.16804032509996128
34,1156,0.006510884501039982,2.3976573648539602e-05,2025-09-27T14:43:13.074624,0.16308836051660666
35,1190,0.004254562314599752,2.140463001152252e-05,2025-09-27T14:43:23.179978,0.1683842627666915
36,1224,0.003304443322122097,1.8947512507439797e-05,2025-09-27T14:43:33.215777,0.16723129826665778
37,1258,0.002850832650437951,1.661491825652986e-05,2025-09-27T14:43:41.506992,0.16833558271664514
38,1292,0.003333618165925145,1.4416052942640086e-05,2025-09-27T14:43:51.574907,0.1676954267333713
39,1326,0.0022643234115093946,1.2359594482598388e-05,2025-09-27T14:44:01.675054,0.16830739181665802
40,1360,0.0025895771104842424,1.0453658778440065e-05,2025-09-27T14:44:09.669123,0.16549770926667406
41,1394,0.002605872228741646,8.705767687650222e-06,2025-09-27T14:44:19.635979,0.16608681185001237
42,1428,0.002808482851833105,7.122819337828748e-06,2025-09-27T14:44:29.701758,0.16772733794999414
43,1462,0.002577885054051876,5.711060902932022e-06,2025-09-27T14:44:37.650869,0.16427556376668992
44,1496,0.0021544138435274363,4.476063948531549e-06,2025-09-27T14:44:47.513938,0.16435635033334015
45,1530,0.0023613846860826015,3.4227024433899053e-06,2025-09-27T14:44:57.618696,0.1683769085499686
46,1564,0.0020828673150390387,2.5551335241327686e-06,2025-09-27T14:45:07.653632,0.16720730861664682
47,1598,0.002368369372561574,1.8767810889299176e-06,2025-09-27T14:45:15.692832,0.16651089973335426
48,1632,0.0023005648981779814,1.390322284933352e-06,2025-09-27T14:45:25.751962,0.16761574243337235
49,1666,0.0025855684652924538,1.0976769428005583e-06,2025-09-27T14:45:35.710698,0.16594088453330186
50,1700,0.002265026094391942,1e-06,2025-09-27T14:45:43.680510,0.164827212950028
