epoch,step,loss,lr,timestamp,training_time_mins
1,34,2.2945778369903564,9.990232305719939e-05,2025-09-27T14:28:26.005305,0.1934679043499879
2,68,0.7098380923271179,9.960967771506663e-05,2025-09-27T14:28:40.107045,0.17210223959997772
3,102,0.6862015128135681,9.912321891107001e-05,2025-09-27T14:28:49.951511,0.166820068650001
4,136,0.6349651217460632,9.844486647586714e-05,2025-09-27T14:29:01.245101,0.16488449083335582
5,170,0.5501610040664673,9.757729755661e-05,2025-09-27T14:29:11.217927,0.1661696978833182
6,204,0.4268933832645416,9.652393605146831e-05,2025-09-27T14:29:21.218933,0.16664382723332286
7,238,0.3102847933769226,9.528893909706784e-05,2025-09-27T14:29:29.236975,0.16578569449999728
8,272,0.22307108342647552,9.387718066217109e-05,2025-09-27T14:29:39.252690,0.1668797434666582
9,306,0.1635541170835495,9.229423231234955e-05,2025-09-27T14:29:49.266345,0.1668682553833302
10,340,0.14281369745731354,9.05463412215597e-05,2025-09-27T14:29:57.038490,0.16025035670002882
11,374,0.10684497654438019,8.864040551740132e-05,2025-09-27T14:30:06.982738,0.16570476481665536
12,408,0.08448687195777893,8.658394705735965e-05,2025-09-27T14:30:16.798949,0.16358392443332073
13,442,0.07696373760700226,8.438508174346992e-05,2025-09-27T14:30:24.789639,0.1637255892500131
14,476,0.0766955092549324,8.205248749255997e-05,2025-09-27T14:30:34.771684,0.16634343653331599
15,510,0.06077127531170845,7.959536998847726e-05,2025-09-27T14:30:44.812315,0.16729821956669183
16,544,0.05274609103798866,7.702342635146016e-05,2025-09-27T14:30:53.023784,0.16667798208333504
17,578,0.041629280894994736,7.434680686803477e-05,2025-09-27T14:31:02.968941,0.16573122463335796
18,612,0.040958695113658905,7.157607493247093e-05,2025-09-27T14:31:13.032923,0.16770865279995634
19,646,0.03584956005215645,6.872216535789138e-05,2025-09-27T14:31:22.991557,0.16594332723337477
20,680,0.040595561265945435,6.57963412215597e-05,2025-09-27T14:31:30.860263,0.16231016221669659
21,714,0.019210316240787506,6.281014941466015e-05,2025-09-27T14:31:40.781564,0.16527369428337504
22,748,0.019779667258262634,5.977537507199321e-05,2025-09-27T14:31:50.764077,0.16632636363337952
23,782,0.023386308923363686,5.670399506143291e-05,2025-09-27T14:31:58.842915,0.16523616900000584
24,816,0.026394173502922058,5.360813071670086e-05,2025-09-27T14:32:08.903542,0.16764546331663344
25,850,0.013795466162264347,5.049999999999986e-05,2025-09-27T14:32:18.909025,0.16672672591666923
26,884,0.017840607091784477,4.7391869283298854e-05,2025-09-27T14:32:26.890461,0.164955896099976
27,918,0.01668740250170231,4.4296004938566826e-05,2025-09-27T14:32:36.737340,0.16408757853332645
28,952,0.0065087564289569855,4.122462492800652e-05,2025-09-27T14:32:46.795505,0.16758931179999006
29,986,0.007135444786399603,3.818985058533959e-05,2025-09-27T14:32:54.681891,0.16562226611664907
30,1020,0.009844955056905746,3.5203658778440024e-05,2025-09-27T14:33:04.499756,0.16358944973338416
31,1054,0.008089873939752579,3.227783464210837e-05,2025-09-27T14:33:14.371098,0.1644908881833544
32,1088,0.004064895678311586,2.9423925067528807e-05,2025-09-27T14:33:24.340930,0.16613361526669906
33,1122,0.004208636935800314,2.6653193131964994e-05,2025-09-27T14:33:32.459584,0.16555537301665027
34,1156,0.005775874946266413,2.3976573648539602e-05,2025-09-27T14:33:42.388076,0.16544197226667165
35,1190,0.007373939733952284,2.140463001152252e-05,2025-09-27T14:33:52.272790,0.16472160191666868
36,1224,0.0032330546528100967,1.8947512507439797e-05,2025-09-27T14:34:00.322337,0.1658701192499696
37,1258,0.003928775899112225,1.661491825652986e-05,2025-09-27T14:34:10.192354,0.16446034678331975
38,1292,0.004571280442178249,1.4416052942640086e-05,2025-09-27T14:34:19.999200,0.16341018003331556
39,1326,0.0036021252162754536,1.2359594482598388e-05,2025-09-27T14:34:27.834762,0.16342204229998364
40,1360,0.002198613714426756,1.0453658778440065e-05,2025-09-27T14:34:38.470377,0.17721795791664288
41,1394,0.0027988574001938105,8.705767687650222e-06,2025-09-27T14:34:49.755615,0.1880594767166258
42,1428,0.00276654283516109,7.122819337828748e-06,2025-09-27T14:34:59.342164,0.18934187294998991
43,1462,0.002705466467887163,5.711060902932022e-06,2025-09-27T14:35:09.857026,0.17520172046667237
44,1496,0.0018959204899147153,4.476063948531549e-06,2025-09-27T14:35:20.430418,0.17618073411661803
45,1530,0.002331616822630167,3.4227024433899053e-06,2025-09-27T14:35:28.837009,0.17211011764999665
46,1564,0.002026096684858203,2.5551335241327686e-06,2025-09-27T14:35:39.423047,0.1764001118500043
47,1598,0.0027849762700498104,1.8767810889299176e-06,2025-09-27T14:35:49.774789,0.17250190638333152
48,1632,0.0016338661080226302,1.390322284933352e-06,2025-09-27T14:35:59.628539,0.1641500757500277
49,1666,0.004012362100183964,1.0976769428005583e-06,2025-09-27T14:36:07.518203,0.16420593478336135
50,1700,0.0023621758446097374,1e-06,2025-09-27T14:36:17.418982,0.16497773969998283
