epoch,step,loss,lr,timestamp,training_time_mins
1,34,1.814847469329834,9.990232305719939e-05,2025-09-27T14:19:34.708665,0.21765586888332109
2,68,0.7427881360054016,9.960967771506663e-05,2025-09-27T14:19:49.394154,0.1686851599499884
3,102,0.6633368134498596,9.912321891107001e-05,2025-09-27T14:20:00.890213,0.16600009053333148
4,136,0.5789567828178406,9.844486647586714e-05,2025-09-27T14:20:10.556002,0.1652819350999986
5,170,0.48719659447669983,9.757729755661e-05,2025-09-27T14:20:20.438981,0.16467613721667174
6,204,0.395048052072525,9.652393605146831e-05,2025-09-27T14:20:30.305499,0.16441626091664147
7,238,0.28434988856315613,9.528893909706784e-05,2025-09-27T14:20:40.186009,0.16463481800001317
8,272,0.2249300628900528,9.387718066217109e-05,2025-09-27T14:20:48.194306,0.16433740996671986
9,306,0.1628175973892212,9.229423231234955e-05,2025-09-27T14:20:58.183222,0.1664454576833426
10,340,0.1381232738494873,9.05463412215597e-05,2025-09-27T14:21:08.147983,0.1659472664833326
11,374,0.10208197683095932,8.864040551740132e-05,2025-09-27T14:21:15.952619,0.1605155087167077
12,408,0.08340589702129364,8.658394705735965e-05,2025-09-27T14:21:25.856720,0.16503038608334464
13,442,0.07072801142930984,8.438508174346992e-05,2025-09-27T14:21:35.567657,0.161816102766655
14,476,0.07062745094299316,8.205248749255997e-05,2025-09-27T14:21:43.472701,0.1619023273166628
15,510,0.06319180130958557,7.959536998847726e-05,2025-09-27T14:21:53.367740,0.16488430343336707
16,544,0.04421461001038551,7.702342635146016e-05,2025-09-27T14:22:03.289248,0.16532899898338654
17,578,0.04293857887387276,7.434680686803477e-05,2025-09-27T14:22:11.411978,0.16507500706666178
18,612,0.037080079317092896,7.157607493247093e-05,2025-09-27T14:22:21.199381,0.1630936720500055
19,646,0.05794448405504227,6.872216535789138e-05,2025-09-27T14:22:31.172955,0.16618193191661704
20,680,0.02113439328968525,6.57963412215597e-05,2025-09-27T14:22:42.515740,0.1621977351666525
21,714,0.02645747922360897,6.281014941466015e-05,2025-09-27T14:22:50.415803,0.1625219119000273
22,748,0.019687285646796227,5.977537507199321e-05,2025-09-27T14:23:00.435266,0.16695628678329133
23,782,0.018116623163223267,5.670399506143291e-05,2025-09-27T14:23:10.357168,0.16532735466662415
24,816,0.01882653683423996,5.360813071670086e-05,2025-09-27T14:23:18.009193,0.1608084984833719
25,850,0.013961292803287506,5.049999999999986e-05,2025-09-27T14:23:27.910511,0.16497615830000237
26,884,0.01565871573984623,4.7391869283298854e-05,2025-09-27T14:23:37.880853,0.16609781746665248
27,918,0.011554824188351631,4.4296004938566826e-05,2025-09-27T14:23:45.915145,0.16458303828330828
28,952,0.012257280759513378,4.122462492800652e-05,2025-09-27T14:23:55.679480,0.16271661081664207
29,986,0.011451386846601963,3.818985058533959e-05,2025-09-27T14:24:05.454629,0.16288978121665423
30,1020,0.014860947616398335,3.5203658778440024e-05,2025-09-27T14:24:15.329992,0.1645573559833186
31,1054,0.014704586938023567,3.227783464210837e-05,2025-09-27T14:24:23.204871,0.162998769266657
32,1088,0.009003751911222935,2.9423925067528807e-05,2025-09-27T14:24:33.091994,0.16474384865002017
33,1122,0.006992024835199118,2.6653193131964994e-05,2025-09-27T14:24:43.007577,0.1652252304000285
34,1156,0.0030008046887815,2.3976573648539602e-05,2025-09-27T14:24:51.018836,0.1640581880999889
35,1190,0.005709612742066383,2.140463001152252e-05,2025-09-27T14:25:00.842331,0.16368885675001366
36,1224,0.0027619386091828346,1.8947512507439797e-05,2025-09-27T14:25:10.590813,0.16243471874998552
37,1258,0.0022080496419221163,1.661491825652986e-05,2025-09-27T14:25:18.248529,0.1607554033166404
38,1292,0.005496237892657518,1.4416052942640086e-05,2025-09-27T14:25:28.091739,0.16402674761666275
39,1326,0.0020915823988616467,1.2359594482598388e-05,2025-09-27T14:25:38.031163,0.16560219296667736
40,1360,0.0028701303526759148,1.0453658778440065e-05,2025-09-27T14:25:46.179156,0.16474822403330716
41,1394,0.003482910804450512,8.705767687650222e-06,2025-09-27T14:25:56.048782,0.1644539235833387
42,1428,0.0037367860786616802,7.122819337828748e-06,2025-09-27T14:26:05.976452,0.16540579963329946
43,1462,0.002176188863813877,5.711060902932022e-06,2025-09-27T14:26:15.825554,0.1641238073666803
44,1496,0.003300456330180168,4.476063948531549e-06,2025-09-27T14:26:23.766732,0.16376317811664193
45,1530,0.0029044654220342636,3.4227024433899053e-06,2025-09-27T14:26:33.548487,0.16297373895001024
46,1564,0.003089125035330653,2.5551335241327686e-06,2025-09-27T14:26:43.491967,0.1656875858499916
47,1598,0.003336857771500945,1.8767810889299176e-06,2025-09-27T14:26:51.265456,0.16180247700000716
48,1632,0.0023884845431894064,1.390322284933352e-06,2025-09-27T14:27:01.175195,0.16512753631668603
49,1666,0.0025852248072624207,1.0976769428005583e-06,2025-09-27T14:27:11.139815,0.16603581696666272
50,1700,0.0018192270072177052,1e-06,2025-09-27T14:27:19.253786,0.1654598275332925
